,senador,partido,id_diputado,distrito
126,Sr. Frank Sauerbaum,Partido: RN,953,Distrito: N°19
127,Sr. Diego Schalper,Partido: RN,1075,Distrito: N°15
128,Sr. Marcelo Schilling,Partido: PS,920,Distrito: N°6
129,Sra. Alejandra Sepúlveda,Partido: FRVS,897,Distrito: N°16
130,Sr. Alexis Sepúlveda,Partido: PR,1076,Distrito: N°17
131,Sr. Gabriel Silber,Partido: DC,898,Distrito: N°8
132,Sr. Leonardo Soto,Partido: PS,1002,Distrito: N°14
133,Sr. Raúl Soto,Partido: IND,1077,Distrito: N°15
134,Sr. Guillermo Teillier,Partido: PC,956,Distrito: N°13
135,Sr. Jaime Tohá,Partido: PS,1078,Distrito: N°20
136,Sr. Sebastián Torrealba,Partido: RN,1079,Distrito: N°10
137,Sr. Víctor Torres,Partido: DC,957,Distrito: N°7
138,Sr. Renzo Trisotti,Partido: UDI,1003,Distrito: N°2
139,Sra. Virginia Troncoso,Partido: UDI,1080,Distrito: N°16
140,Sr. Francisco Undurraga,Partido: EVOP,1081,Distrito: N°11
141,Sr. Ignacio Urrutia,Partido: PREP,908,Distrito: N°18
142,Sr. Osvaldo Urrutia,Partido: UDI,1005,Distrito: N°7
143,Sr. Cristóbal Urruticoechea,Partido: RN,1082,Distrito: N°21
144,Sra. Camila Vallejo,Partido: PC,1006,Distrito: N°12
145,Sr. Enrique Van Rysselberghe,Partido: UDI,959,Distrito: N°20
146,Sr. Esteban Velásquez,Partido: FRVS,1083,Distrito: N°3
147,Sr. Pedro Velásquez,Partido: IND,961,Distrito: N°5
148,Sr. Mario Venegas,Partido: DC,913,Distrito: N°22
149,Sr. Daniel Verdessi,Partido: DC,1084,Distrito: N°6
150,Sr. Pablo Vidal,Partido: RD,1085,Distrito: N°8
151,Sr. Gastón Von Mühlenbrock,Partido: UDI,917,Distrito: N°24
152,Sr. Matías Walker,Partido: DC,963,Distrito: N°5
153,Sr. Gonzalo Winter,Partido: PCS,1086,Distrito: N°10
154,Sra. Gael Yeomans,Partido: PCS,1087,Distrito: N°13
